"Potion, Healing",--,2d4+2,Recovery,.5 lbs,Potion,Alchemical,50 GP,Common,
"Potion, Climbing",--,--,Enhancement,.5 lbs,Potion,Alchemical,50 GP,Common,Add walking speed to climbing speed for 1 hour.
Milk,--,6,Recovery,.5 lbs,Potion,Caught,1 SP,Common,
Narcotic(1),--,1d4+1,Healing,.1 lbs,Potion,Alchemical,1 GP,Common,Addictive substance|(DC13) Wis save or take 1d4+1 Psychic damage|Repeat until successful or until taken again.
Alchemical Grenade(Burn),Fi,3d6,Damaging,1 lbs,Thrown,Alchemical,1 GP,Common,Ranged(30/60)|Blast(30)|
Alchemical Grenade(Freeze),Co,3d6,Damaging,1 lbs,Thrown,Alchemical,1 GP,Common,Ranged(30/60)|Blast(30)|
Alchemical Grenade(Shock),Li,3d6,Damaging,1 lbs,Thrown,Alchemical,1 GP,Common,Ranged(30/60)|Blast(30)|
Alchemical Grenade(Acidic),Ac,3d6,Damaging,1 lbs,Thrown,Alchemical,1 GP,Common,Ranged(30/60)|Blast(30)|
Alchemical Grenade(Toxic),Po,3d6,Damaging,1 lbs,Thrown,Alchemical,1 GP,Common,Ranged(30/60)|Blast(30)|
Alchemical Grenade(Boom),Th,3d6,Damaging,1 lbs,Thrown,Alchemical,1 GP,Common,Ranged(30/60)|Blast(30)|
Holy Water,Ra,2d6,Damaging,1 lbs,Thrown,Magical,2 GP,Common,Ranged(30/60)|Double damage to undead.
"Potion, Healing(Greater)",--,4d4+4,Recovery,.5 lbs,Potion,Alchemical,100 GP,Uncommon,
"Potion, Animal Friendship",--,--,Spell,.5 lbs,Potion,Alchemical,100 GP,Uncommon,Cast Animal Friendship (DC13) for 1 hour.
"Potion, Growth",--,--,Enhancement,.5 lbs,Potion,Alchemical,100 GP,Uncommon,Double dize for 1d4 hours.
"Potion, Poison",Po,3d6,Damaging,.5 lbs,Potion,Alchemical,100 GP,Uncommon,Sustained poison|(DC13) Con save to reduce poison damage die each turn.
"Potion, Resistance",--,--,Enhancement,.5 lbs,Potion,Alchemical,100 GP,Uncommon,Gain Resistance for 1 hour for 1 damage type.
"Potion, Water Breathing",--,--,Enhancement,.5 lbs,Potion,Alchemical,100 GP,Uncommon,Breathe underwater for 1 hour.
"Potion, Sedative",--,--,Effective,.5 lbs,Potion,Alchemical,100 GP,Uncommon,(DC13) Con save to resist the urge to sleep.
"Potion, Vulnerability",--,--,Effective,.5 lbs,Potion,Alchemical,100 GP,Uncommon,Gain Vulnerability for 1 hour for 1 damage type.
Dragon's Breath (Black),Ac,4d6,Damaging,1 lbs,Thrown,Caught,100 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Blue),Li,4d6,Damaging,1 lbs,Thrown,Caught,100 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Brown),Fi,4d6,Damaging,1 lbs,Thrown,Caught,100 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Green),Po,4d6,Damaging,1 lbs,Thrown,Caught,100 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Grey),Co,4d6,Damaging,1 lbs,Thrown,Caught,100 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Magenta),Th,4d6,Damaging,1 lbs,Thrown,Caught,100 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Orange),Po,6d6,Damaging,1 lbs,Thrown,Caught,150 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Pink),Co,6d6,Damaging,1 lbs,Thrown,Caught,150 GP,Uncommon,Ranged(30/60)|Blast(30)|
Dragon's Breath (Purple),Ac,6d6,Damaging,1 lbs,Thrown,Caught,150 GP,Uncommon,Ranged(30/60)|Blast(30)|
